Time Period,Cases
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,160
2008-08,473
2008-09,334
2008-10,184
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,1
2009-06,0
2009-07,4
2009-08,125
2009-09,188
2009-10,154
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,61
2010-08,183
2010-09,120
2010-10,45
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,61
2011-07,255
2011-08,691
2011-09,193
2011-10,114
2011-11,36
2011-12,9
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,10
2012-07,129
2012-08,122
2012-09,246
2012-10,107
2012-11,27
2012-12,0
2013-01,6
2013-02,7
2013-03,3
2013-04,3
2013-05,12
2013-06,50
2013-07,172
2013-08,339
2013-09,385
2013-10,501
2013-11,218
2013-12,53
2014-01,15
2014-02,7
2014-03,2
2014-04,0
2014-05,8
2014-06,9
2014-07,82
2014-08,80
2014-09,76
2014-10,63
2014-11,22
2014-12,11
2015-01,0
2015-02,0
2015-03,2
2015-04,6
2015-05,10
2015-06,28
2015-07,171
2015-08,765
2015-09,965
2015-10,869
2015-11,271
2015-12,75
2016-01,13
2016-02,3
2016-03,17
2016-04,38
2016-05,70
2016-06,254
2016-07,926
2016-08,1451
2016-09,1544
2016-10,1077
2016-11,522
2016-12,145
2017-01,92
2017-02,58
2017-03,36
2017-04,73
2017-05,134
2017-06,267
2017-07,286
2017-08,346
2017-09,430
2017-10,512
2017-11,409
2017-12,126
2018-01,26
2018-02,7
2018-03,19
2018-04,29
2018-05,52
2018-06,295
2018-07,946
2018-08,1796
2018-09,3087
2018-10,2406
2018-11,1192
2018-12,293
2019-01,38
2019-02,18
2019-03,17
2019-04,58
2019-05,193
2019-06,1884
2019-07,16253
2019-08,52636
2019-09,16856
2019-10,8143
2019-11,4011
2019-12,1038
